SampleID,R,G,B,view,class,size
103,95.65347052,119.779822,55.40414829,front,3,169
104,86.41643546,115.7355161,56.46701152,front,1,157
105,102.1157439,124.4980839,69.51450773,front,1,150
106,90.50841314,110.6100692,51.55172586,front,3,172
107,94.49647341,115.4528235,53.58544411,front,2,140
108,86.42246544,113.9083323,46.43732762,front,2,130
109,94.45449,116.1420329,67.03440256,front,1,156
110,107.2624211,128.6690085,71.48787594,front,3,173
111,95.35064031,114.6638584,61.86926679,front,2,122
112,112.2230078,134.4840397,75.93341042,front,1,155
113,84.31973361,104.877166,47.40160675,front,2,140
114,81.88045395,101.0903633,39.86723441,front,4,160
115,101.2963018,119.7988512,68.50340541,front,4,148
116,73.31822012,92.9240182,46.18803304,front,2,108
117,81.19160938,105.8597891,48.95117222,front,2,128
118,95.66831091,114.0579522,59.88967819,front,2,142
119,99.77809763,112.1688737,50.5868004,front,2,110
120,66.59258049,90.80582092,38.69157171,front,4,127
121,77.80705355,97.84620265,44.67954842,front,2,135
122,84.23218661,99.96613945,48.26183051,front,2,126
123,89.68833906,108.93027,47.24189774,front,2,144
124,101.1214251,125.3145255,61.82811736,front,1,156
125,114.5649631,132.7461605,81.26285859,front,3,148
126,86.72335677,110.148114,51.70342317,front,3,175
127,56.63376841,74.60303285,27.0987202,front,1,149
128,73.34149864,86.83747153,43.69305116,front,4,163
129,73.39896907,88.17342784,39.15698454,front,2,119
130,62.34912746,80.30974145,29.53821791,front,2,132
131,104.5129803,118.1827437,60.31400317,front,2,141
132,82.57374977,106.771138,42.59995787,front,2,100
133,84.98916269,103.8324674,46.52357604,front,2,132
134,98.42774636,114.8161434,63.13688323,front,3,167
135,85.51668164,106.2004012,52.33349742,front,3,168
136,96.99401915,114.2070647,58.68644996,front,1,156
137,89.61852331,105.7604655,47.64960897,front,1,155
138,92.07985399,114.6177947,55.33228934,front,3,168
139,67.46924546,89.54857557,30.85932816,front,4,101
140,77.28757099,103.5018442,46.40075718,front,2,108
141,59.90459859,83.61192391,33.22849372,front,2,116
142,74.06756873,97.67028867,46.65842546,front,2,129
143,88.86298057,109.4675589,39.93587981,front,2,139
144,96.29691387,116.4793053,57.24096142,front,2,132
145,73.57061543,96.15238712,35.69238852,front,2,122
146,95.41509729,112.270803,53.18984128,front,1,153
147,85.99864795,102.718759,55.40521259,front,1,153
148,77.84461604,102.4706108,43.73990462,front,2,134
149,108.1050631,129.7786851,63.52823459,front,1,164
150,44.83168959,65.72579599,16.91594717,front,2,138
151,71.45750294,89.87678415,40.7849594,front,2,130
152,66.13434981,85.77573675,34.95774415,front,2,115
153,68.50647374,91.33729129,37.48421626,front,2,130
154,81.04817346,92.43977499,46.0325735,front,4,136
155,83.10915816,95.0522702,34.17141337,front,4,129
156,78.42084954,97.90533686,45.14971215,front,4,99
157,81.97609744,103.1206041,55.94057803,front,4,92
158,82.70468124,99.38618317,43.95829237,front,4,91
159,98.41153977,118.2276506,61.03227473,front,4,91
160,93.68590615,115.3342809,53.83728835,front,4,79
161,70.75202739,96.41249713,34.70736745,front,4,79
162,81.43841856,106.5187905,47.51327293,front,4,112
163,92.40009457,110.7193014,53.15215592,front,4,96
164,66.35367628,93.88148943,31.65716521,front,4,73
165,100.0378994,121.2576554,69.43398563,front,4,76
166,102.2499635,123.8087083,68.77285332,front,4,92
167,73.97731439,97.59818973,48.07349908,front,4,104
168,78.9208525,97.6610046,51.74748395,front,4,117
169,102.1617779,120.3683415,58.17763178,front,4,122
170,77.50412921,100.7984726,43.12267047,front,4,103
171,76.02451252,94.65868061,47.99691484,front,4,80
172,78.0874962,102.2714447,45.41672101,front,4,84
173,71.23642934,93.18389974,30.4703829,front,4,82
174,78.51978659,101.4882938,44.51087745,front,4,92
175,103.7529688,127.4314863,62.59642838,front,4,86
176,106.1224783,127.2938773,71.86747277,front,4,108
177,46.32627809,62.8968192,17.88904542,front,4,86
178,74.40079878,95.23023825,51.63057531,front,4,86
179,83.96668821,104.2042603,52.31373248,front,4,99
180,87.20746086,99.87646018,51.0094486,front,4,76
181,105.1548928,124.1771856,67.62329062,front,4,96
182,63.47582219,78.96798356,27.09340162,front,4,100
183,72.2811215,92.6636563,41.37191983,front,4,82
184,71.54404119,97.15894666,41.82371708,front,4,86
185,95.46129891,117.5036296,54.95777673,front,4,87
186,105.3018658,125.4915482,64.07411453,front,4,89
187,69.38560397,91.4385273,34.46949807,front,4,100
188,109.8222533,125.4587503,71.5664097,front,4,101
189,115.7170447,125.9892888,72.9441717,front,4,90
190,89.42440701,108.4496411,54.45919303,front,4,92
191,80.98371316,102.5771701,47.92982883,front,4,97
192,90.95324318,109.9693289,56.73171087,front,4,87
193,102.4699483,109.932735,41.74444747,front,4,105
194,77.19706869,87.1768203,26.17364177,front,4,97
1,117.738151,131.1295852,63.19878397,left,3,178
2,53.584092,70.16262045,20.95048714,left,4,147
3,66.9682565,89.94329073,28.07195345,left,1,154
4,74.50905258,99.83996209,38.66454786,left,1,160
5,98.95133692,122.8773841,51.59296861,left,1,162
6,82.0080774,103.7791566,41.65628844,left,1,149
7,64.78723691,86.72885734,28.06713987,left,1,156
8,74.62627942,93.2088654,34.92684762,left,1,150
9,86.95390044,112.551955,41.18037383,left,1,148
10,83.23626384,102.9287633,35.81531801,left,1,160
11,86.91226543,112.5055136,50.56690527,left,1,164
12,97.03735046,113.551429,51.810632,left,3,169
13,97.28947966,122.5833472,63.44481094,left,3,176
14,76.09180368,101.2863021,45.869062,left,3,167
15,83.32048979,103.5376712,41.21017054,left,3,166
16,84.46873068,106.7906784,46.51491496,left,1,151
17,68.68170292,90.76393968,29.11845723,left,2,137
18,86.24722399,106.1467395,40.80490134,left,1,156
19,81.09930334,100.6752254,43.79612759,left,1,154
20,85.26614928,108.2845225,47.57501809,left,1,154
21,72.47029043,97.28438444,42.79170636,left,1,155
22,92.6560433,111.8687775,42.90782806,left,2,135
23,81.48485174,102.723965,35.7967519,left,1,150
24,84.65662064,106.8660365,44.9079032,left,1,158
25,96.09028897,116.4110546,44.1464302,left,1,164
26,97.92331588,113.1715186,50.11544777,left,1,162
27,69.83417595,98.21602611,35.92526335,left,1,158
28,93.18276903,119.5232021,63.7003732,left,1,152
29,71.47547448,96.42156691,28.95057987,left,1,147
30,76.83076245,97.79972024,36.44244735,left,1,147
31,61.22405645,83.72591388,29.63161365,left,1,147
32,81.53815442,103.8378976,47.17501734,left,1,149
33,69.75594728,92.84932015,34.60684256,left,1,158
34,64.11844313,91.53022335,29.39223447,left,1,147
35,87.45272211,114.0892452,50.78548764,left,1,147
36,93.2585759,115.4319726,54.79441338,left,1,152
37,89.55265556,109.3762258,49.8457216,left,2,140
38,96.48169921,117.6195675,60.9908671,left,3,170
39,76.67621307,96.28083479,40.00735637,left,3,167
40,72.7914919,96.28140404,37.14491933,left,3,172
41,111.3769967,120.7497709,61.65703556,left,2,142
42,93.2668966,118.3841221,57.58097975,left,3,181
43,113.0825991,130.4846596,70.0799392,left,2,141
44,76.91958504,96.08039801,38.42004272,left,2,144
45,89.75381243,107.8565544,46.64961545,left,1,152
46,78.10552562,103.059869,47.23437825,left,3,171
47,108.8538593,124.8988812,61.55562313,left,1,165
48,85.19075074,109.8977721,51.18888739,left,1,156
49,96.09077204,112.7287276,56.43291392,left,1,152
50,76.41939928,102.8727439,43.15656861,left,1,163
51,117.1660641,137.5473838,78.79600397,left,3,170
52,93.24695888,112.3431438,61.99744874,left,1,155
53,66.19088035,92.02889105,32.48869163,left,1,154
54,81.03075897,102.3157625,44.40670576,left,2,143
55,64.99960586,87.11748898,30.10018274,left,4,113
56,51.57216837,72.9148231,29.54142845,left,4,103
57,64.47773755,81.04259721,31.98838685,left,2,106
58,72.91481309,94.31256225,33.42437421,left,2,118
59,65.13556642,90.82011238,35.55861247,left,2,135
60,83.5556389,108.464188,44.48354856,left,2,144
61,58.65727022,78.64630042,28.12726716,left,2,110
62,60.48245472,82.89137102,30.71078542,left,2,135
63,73.83796545,93.20278463,44.80040777,left,2,110
64,69.89386891,91.65040809,37.85097078,left,2,133
65,61.31807659,77.84648374,22.33291586,left,2,111
66,77.47823689,93.61888832,39.87052423,left,2,112
67,67.42031477,88.36811709,30.98452586,left,4,91
68,82.26191258,103.3860862,47.97204095,left,1,161
69,111.5441228,122.0299145,68.07498458,left,3,169
70,109.992194,119.8536926,64.05263544,left,1,160
71,96.26764889,116.065199,57.2799349,left,3,170
72,121.2123744,133.703229,71.92082116,left,3,176
73,92.52382409,113.6279414,51.23404716,left,3,170
74,59.18384139,79.40365175,29.50933835,left,2,144
75,89.79169572,111.2324439,62.98747898,left,3,187
76,82.98152824,99.30853256,42.03552659,left,2,132
77,90.18308921,112.8837383,56.13393808,left,1,157
78,59.97463732,80.46252093,30.87163294,left,1,152
79,69.23716177,91.33596846,35.38946376,left,1,141
80,120.7459347,138.0068023,76.39172382,left,3,176
81,77.93359452,102.106575,42.67126545,left,1,161
82,89.40986802,111.5735924,53.3973512,left,2,140
83,84.86603904,108.2413111,45.97039617,left,1,154
84,93.54936638,113.1576254,54.62778469,left,1,155
85,82.67107796,100.7307432,45.32116902,left,1,164
86,73.86005609,99.38557283,41.96937645,left,1,147
87,89.1854169,109.6920581,52.89063359,left,1,158
88,72.51311254,98.41329377,43.09653175,left,1,150
89,74.54295513,96.92040858,45.87476001,left,1,152
90,83.09753222,107.4788652,49.15848177,left,3,171
91,116.482128,130.9114435,70.37005488,left,3,175
92,88.18287712,113.4623623,53.39767281,left,1,163
93,90.70146375,110.430419,56.35281917,left,1,164
94,93.33268536,113.2003153,58.00090308,left,3,172
95,69.18111892,93.10995518,40.95993581,left,1,163
96,63.92520711,87.72000429,40.61987573,left,2,140
97,77.2575305,101.3261857,47.74655452,left,1,160
98,86.1291077,110.1198233,57.42550025,left,2,136
99,95.9192974,116.9384883,60.65999107,left,3,174
100,76.39062055,100.1740956,44.05841167,left,3,167
101,74.59247734,98.51143532,40.39691204,left,1,150
102,113.159557,123.7619885,67.42232831,left,1,148
103,114.4681745,134.3693992,74.54696049,left,3,169
104,85.13556809,112.4881183,53.12165428,left,1,157
105,93.5908737,114.891119,59.11460442,left,1,150
106,83.65752227,102.6561457,50.01556275,left,3,172
107,84.36503155,108.1023379,45.06251793,left,2,140
108,75.62393727,101.1152506,41.27066061,left,2,130
109,89.77422667,112.7923654,51.60712123,left,1,156
110,93.99931109,112.1788011,58.44073,left,3,173
111,54.16794598,78.44024485,26.62070054,left,2,122
112,86.86959468,107.7212457,52.45024212,left,1,155
113,56.82021936,77.5076174,26.28105313,left,2,140
114,110.5207023,118.9152465,55.58609745,left,4,160
115,92.11174642,104.3545298,50.88084268,left,4,148
116,61.12483346,80.18042715,28.72578627,left,2,108
117,47.47007938,69.03494475,23.41522272,left,2,128
118,66.179228,86.75698612,30.71933371,left,2,142
119,51.09356936,67.06260322,19.33154418,left,2,110
120,53.98508778,79.66735749,30.68031635,left,4,127
121,68.14327081,91.43586308,35.24898435,left,2,135
122,83.45557859,97.21348447,48.21580735,left,2,126
123,74.25513508,92.03941327,31.63737857,left,2,144
124,87.78217012,109.0821974,40.7797619,left,1,156
125,86.3166632,106.3679495,56.51072741,left,3,148
126,61.4544351,83.33747696,30.44656746,left,3,175
127,44.5837069,64.16818783,20.67933047,left,1,149
128,45.99909249,59.77448385,22.04121606,left,4,163
129,50.05990783,70.38177529,17.24506254,left,2,119
130,77.16863292,94.61209848,39.01336764,left,2,132
131,89.40931913,101.4782617,39.91647014,left,2,141
132,67.77647204,88.69381494,34.09579416,left,2,100
133,55.17062069,74.47844992,22.325171,left,2,132
134,90.35158268,102.8551819,53.43900996,left,3,167
135,59.00614041,80.8469495,30.90199974,left,3,168
136,91.0616151,108.0110448,55.78057813,left,1,156
137,66.99637014,82.95144374,26.75521223,left,1,155
138,87.92128227,105.367681,46.0478026,left,3,168
139,54.52231602,77.10756738,27.56696699,left,4,101
140,42.5658531,66.3008577,21.424102,left,2,108
141,69.4809105,94.65593409,33.04055466,left,2,116
142,49.02581487,71.30440197,24.15056038,left,2,129
143,84.60409565,102.0040957,43.33571145,left,2,139
144,65.37611505,85.72956434,32.56876221,left,2,132
145,56.37399683,77.20666539,24.72413379,left,2,122
146,62.22686535,82.13304645,36.95373071,left,1,153
147,85.24285121,103.2117757,50.65378022,left,1,153
148,65.42781629,85.77421291,30.09477985,left,2,134
149,101.8342332,121.7686489,64.34462702,left,1,164
150,39.7345887,62.55797466,15.97340105,left,2,138
151,48.56812715,64.7876925,24.66410346,left,2,130
152,51.07746458,67.86160621,19.29224456,left,2,115
153,48.44640906,70.64425071,23.40143593,left,2,130
154,59.6428368,73.98851229,25.23760246,left,4,136
155,86.62172797,98.22354149,31.73964072,left,4,129
156,75.21735231,95.90520495,46.24003288,left,4,99
157,55.13222876,75.3071197,28.35114259,left,4,92
158,67.48396202,82.2865281,28.35658199,left,4,91
159,109.7978475,117.3007175,66.54754185,left,4,91
160,86.99916899,106.9552254,48.87807472,left,4,79
161,64.66148744,87.87107832,34.12694687,left,4,79
162,108.911821,119.1572622,68.59646572,left,4,112
163,97.66654119,103.4822542,46.71821897,left,4,96
164,70.22457866,95.6370454,38.63024487,left,4,73
165,79.72028986,99.66376812,52.3798419,left,4,76
166,88.37902834,107.5204858,62.19149798,left,4,92
167,49.82527816,71.91710277,25.34772857,left,4,104
168,59.13042624,81.42668434,31.43473777,left,4,117
169,84.58744361,102.2426976,41.77453228,left,4,122
170,61.9424999,86.14081735,35.41704936,left,4,103
171,66.59060903,87.50279493,40.38415673,left,4,80
172,75.39788382,97.38036346,44.2508159,left,4,84
173,73.02939374,88.96776903,31.8519645,left,4,82
174,76.76070618,98.417872,46.41598128,left,4,92
175,77.85059757,97.60000864,41.04456355,left,4,86
176,78.49885323,99.5769826,49.45329952,left,4,108
177,58.94289068,71.29286321,31.98841332,left,4,86
178,59.723511,72.55177396,28.38954888,left,4,86
179,71.78477782,88.61820205,39.48240658,left,4,99
180,42.71541287,57.4516156,15.36528346,left,4,76
181,93.81572395,103.2981039,47.09853805,left,4,96
182,75.24640359,88.57814438,37.75116801,left,4,100
183,64.27957441,84.22063559,35.01249475,left,4,82
184,80.63364313,102.2338816,50.46134008,left,4,86
185,80.76121587,100.0583087,42.31103503,left,4,87
186,57.9201543,80.37082784,24.76366071,left,4,89
187,92.57960226,110.4571686,55.47943707,left,4,100
188,50.85991865,65.12277289,20.68690039,left,4,101
189,87.6642911,97.72373606,42.01613985,left,4,90
190,88.83064444,99.55512234,46.84955633,left,4,92
191,70.49212832,93.05262033,40.72770878,left,4,97
192,50.36317805,61.36691066,19.89975278,left,4,87
193,112.1510582,127.8472366,57.11217359,left,4,105
194,114.8571994,115.5818829,41.84216772,left,4,97
1,92.76543106,117.8951096,56.28656999,right,3,178
2,83.56575848,100.7688475,39.16369586,right,4,147
3,81.02373657,105.677573,36.3236862,right,1,154
4,115.1844438,130.870055,64.96625716,right,1,160
5,82.76536056,108.5473187,43.27520468,right,1,162
6,97.65147742,113.3473461,44.69700594,right,1,149
7,54.41111087,78.36737614,21.56932186,right,1,156
8,74.96084195,93.49008202,36.97120187,right,1,150
9,67.99622985,94.79175445,37.75028276,right,1,148
10,73.16125896,97.39934661,36.32951394,right,1,160
11,84.40927382,105.2211079,41.21702145,right,1,164
12,78.33193489,104.7740225,42.99773452,right,3,169
13,87.1359387,114.1916092,54.24135377,right,3,176
14,95.61870361,116.8743394,55.16611578,right,3,167
15,101.7752217,117.052122,51.14095904,right,3,166
16,89.83661254,108.1382364,43.92156344,right,1,151
17,50.66810715,74.972243,18.96501288,right,2,137
18,70.47523824,92.16841836,29.08924041,right,1,156
19,64.03316283,89.21369179,31.59860367,right,1,154
20,76.67706856,99.46499493,42.05567376,right,1,154
21,74.90699708,100.5256399,38.44238944,right,1,155
22,80.88285547,104.5696167,39.50729959,right,2,135
23,69.28323455,95.01456025,32.85719545,right,1,150
24,90.96232486,109.3964308,43.741886,right,1,158
25,97.62999623,116.1121883,44.11114336,right,1,164
26,61.06315789,85.28508227,28.16981584,right,1,162
27,84.07375286,108.1007799,47.84005647,right,1,158
28,77.59288457,106.320428,44.74698901,right,1,152
29,57.66015605,82.66803509,21.55660666,right,1,147
30,72.56255206,96.57433263,34.50039665,right,1,147
31,61.49980593,84.90544702,30.97057834,right,1,147
32,72.54313725,92.45372077,36.53271911,right,1,149
33,61.82765358,86.8146701,29.10520328,right,1,158
34,65.57872782,91.5743798,31.01514081,right,1,147
35,77.02765867,107.2925803,40.48769484,right,1,147
36,104.7548933,120.5315364,66.51487342,right,1,152
37,76.00318398,99.85617097,44.13267363,right,2,140
38,115.4637232,128.7285523,70.81786193,right,3,170
39,75.58353212,93.35709877,40.08952908,right,3,167
40,72.3488545,96.51118286,37.76959495,right,3,172
41,86.7681784,107.5883571,52.74515994,right,2,142
42,108.8688897,128.6189239,66.38648256,right,3,181
43,89.23979287,113.9088362,55.32039538,right,2,141
44,72.73583989,94.6838899,38.13222955,right,2,144
45,76.667939,100.811336,42.65575909,right,1,152
46,74.15800638,98.04266621,41.43031819,right,3,171
47,76.8499322,96.40908475,40.98945763,right,1,165
48,91.42099446,112.2433272,52.29566399,right,1,156
49,84.47933231,106.6730436,52.61393416,right,1,152
50,93.11745172,114.6837863,50.26098591,right,1,163
51,79.75391822,107.8483909,49.07792909,right,3,170
52,118.5405706,132.6698364,78.87984676,right,1,155
53,89.66842855,110.8062065,47.71878678,right,1,154
54,98.54972198,116.2063309,57.74055675,right,2,143
55,55.30850435,76.97006165,24.30960223,right,4,113
56,54.40512696,75.4680532,25.36778718,right,4,103
57,65.0878702,86.99048519,36.14971645,right,2,106
58,65.68100371,88.0511304,31.31980122,right,2,118
59,68.00942417,91.07484703,37.96448864,right,2,135
60,56.19648434,81.75415273,27.72540836,right,2,144
61,80.3015416,96.97390804,37.01989014,right,2,110
62,89.71453099,109.1817612,49.13173969,right,2,135
63,100.6392447,114.2952158,59.02956712,right,2,110
64,66.94560221,87.20190009,31.9237818,right,2,133
65,65.26716543,82.328567,27.4391518,right,2,111
66,96.27132851,114.7635759,56.92629704,right,2,112
67,55.48352962,78.81174179,24.63167449,right,4,91
68,81.61091405,105.0087036,48.879709,right,1,161
69,98.64738554,118.6058185,62.20401859,right,3,169
70,101.1569778,117.2349272,61.7247296,right,1,160
71,89.01585542,110.4233811,57.71748771,right,3,170
72,113.1351384,126.0266708,68.41781066,right,3,176
73,85.60557193,106.5904583,43.91801424,right,3,170
74,71.12028407,90.64926764,38.29060512,right,2,144
75,93.83540351,113.6415485,65.99649795,right,3,187
76,78.75334807,99.54236554,44.40400035,right,2,132
77,74.47052966,97.03231686,45.20113485,right,1,157
78,67.6251414,89.59428626,34.86322174,right,1,152
79,73.5261434,95.41497074,41.16748152,right,1,141
80,104.0600732,123.1726415,63.49384135,right,3,176
81,97.00699968,118.77916,58.81818326,right,1,161
82,88.73684451,110.180207,50.4476295,right,2,140
83,71.11741534,92.2689305,34.85541397,right,1,154
84,68.69929562,90.63741498,34.45901871,right,1,155
85,77.65870338,97.80892574,41.14150669,right,1,164
86,61.70158571,87.71053017,35.05364587,right,1,147
87,67.85790631,92.49642812,38.78299675,right,1,158
88,82.09165134,102.8912748,47.87163996,right,1,150
89,105.7154218,125.0589114,70.30016301,right,1,152
90,87.27799131,111.305461,55.02376732,right,3,171
91,91.62759677,108.2484284,52.15424259,right,3,175
92,90.48999461,110.8883233,51.78852313,right,1,163
93,101.653433,119.669034,66.91767523,right,1,164
94,76.15834969,99.44117092,46.01453269,right,3,172
95,65.23500875,89.50951071,39.43259148,right,1,163
96,72.98303999,95.30650591,47.05894837,right,2,140
97,72.32916434,94.84943883,43.4728302,right,1,160
98,54.66219154,80.67571922,35.15941695,right,2,136
99,96.56872934,116.8734894,65.08679096,right,3,174
100,99.24476738,119.208478,62.79396885,right,3,167
101,67.24376879,95.34497127,37.81606987,right,1,150
102,68.44352528,88.52086149,35.87411012,right,1,148
103,103.585859,124.2995586,66.27669931,right,3,169
104,69.9481795,99.2363623,40.51494329,right,1,157
105,60.38754854,84.81555786,34.21993269,right,1,150
106,95.13571006,115.8957783,56.33219093,right,3,172
107,81.6586693,104.8614395,43.26120867,right,2,140
108,66.17826055,89.68586788,30.17288487,right,2,130
109,71.02219169,94.71291974,41.12347538,right,1,156
110,84.35164885,105.2915136,54.9567206,right,3,173
111,44.97294469,65.81978516,16.12000985,right,2,122
112,83.37933862,102.1960859,48.74129306,right,1,155
113,56.99386374,77.91807527,29.46666031,right,2,140
114,76.73310255,89.74082929,31.36805263,right,4,160
115,58.96684247,78.30673621,34.69334135,right,4,148
116,62.42737693,82.1907435,31.97240323,right,2,108
117,57.03518471,82.17798237,29.44750052,right,2,128
118,65.85686669,84.80374403,31.27516077,right,2,142
119,70.72151203,84.5626575,28.2715693,right,2,110
120,59.97939026,84.71935439,36.91212581,right,4,127
121,59.54845646,82.66272028,31.19162609,right,2,135
122,59.9409548,77.08965438,30.1478673,right,2,126
123,78.20810024,99.52827336,43.12278878,right,2,144
124,86.50574409,106.5061138,42.47154364,right,1,156
125,84.78971922,101.5062888,55.46120624,right,3,148
126,52.00932265,73.89487046,26.5480179,right,3,175
127,52.23875894,66.45169817,22.2943768,right,1,149
128,49.59344302,66.48182969,20.28771169,right,4,163
129,69.24478096,85.23445105,28.59497025,right,2,119
130,103.2331135,119.9168229,58.35687508,right,2,132
131,78.91809272,91.33579652,29.62357395,right,2,141
132,74.93666481,94.51695141,35.82891526,right,2,100
133,56.40430072,75.25417409,25.15835756,right,2,132
134,79.17290882,95.54663054,51.55472037,right,3,167
135,77.41744707,97.86634772,45.14195556,right,3,168
136,91.15645677,105.1095618,47.23240947,right,1,156
137,75.19795339,91.57445455,37.94868906,right,1,155
138,93.29409165,109.2273903,51.6638284,right,3,168
139,83.70114943,100.2253385,43.22124469,right,4,101
140,53.47808405,75.58091392,28.03702553,right,2,108
141,76.09559139,98.13791859,39.94522494,right,2,116
142,41.46206944,61.78877024,19.02501679,right,2,129
143,83.17767288,98.46858893,33.7100791,right,2,139
144,50.40148354,66.90165739,23.65015067,right,2,132
145,58.20584896,80.88846277,29.49906802,right,2,122
146,69.39356413,90.56928514,38.48207601,right,1,153
147,73.50593192,89.35547178,41.67346712,right,1,153
148,71.52228009,94.85630787,39.84577546,right,2,134
149,74.75313061,94.98724493,40.00929169,right,1,164
150,29.30884769,50.49731675,9.032386764,right,2,138
151,77.03664921,97.56067616,38.00622996,right,2,130
